prompt,response
I feel really anxious today,I hear you. Anxiety can feel overwhelming. Take a slow breath — you are safe right now.
I can't stop worrying about everything,It sounds exhausting to carry so much worry. You don't have to figure it all out at once.
I feel like something bad is going to happen,That feeling of dread is really hard to sit with. Can you tell me more about what's on your mind?
My heart is racing and I don't know why,That can feel really scary. Try taking a few slow deep breaths. I'm right here with you.
I have a panic attack sometimes,Panic attacks are frightening but they do pass. You are stronger than they feel in the moment.
I'm scared of failing,Fear of failure is something many people feel. Your worth is not defined by any outcome.
I overthink everything and it exhausts me,Overthinking can be so draining. Be gentle with yourself — your mind is just trying to protect you.
I get anxious in social situations,Social anxiety is more common than you think. Small steps forward at your own pace are still progress.
I am so stressed about my exams,Exam stress is real and valid. Break things into smaller pieces — one topic at a time.
I have too much work and not enough time,That pressure sounds really heavy. Even five minutes of rest can help reset your mind.
I feel like I'm drowning in responsibilities,It sounds like you are carrying a lot right now. You don't have to do everything alone.
I can't sleep because of stress,Stress really does disrupt sleep. Try to give yourself a quiet wind-down time before bed.
Everything feels urgent and I can't prioritize,When everything feels urgent nothing gets done well. Let's focus on just one thing at a time.
I feel burnt out,Burnout is your mind and body asking for rest. Please be kind to yourself today.
I'm stressed about money,Financial stress can feel all-consuming. One small step at a time can help things feel more manageable.
My job is making me miserable,Spending so much time somewhere that makes you miserable is genuinely hard. Your wellbeing matters.
I feel really sad today,I'm sorry you're feeling this way. Sadness is a real and valid emotion. I'm here to listen.
I've been crying a lot lately,Sometimes tears are how we process what words can't hold. It's okay to let them out.
I feel empty inside,That emptiness can feel really isolating. You don't have to face it alone.
Nothing makes me happy anymore,When joy feels distant it can be really frightening. Thank you for sharing that with me.
I feel hopeless about the future,"Hopelessness is one of the heaviest feelings. Right now, in this moment, you are not alone."
I miss someone I lost,Grief is love with nowhere to go. Missing someone shows how deeply you cared.
I feel like crying but I don't know why,Sometimes our emotions build up before we can name them. It's okay not to have an explanation.
I'm going through a really hard time,I'm really glad you're talking about it. Hard times don't last even when they feel permanent.
I feel so lonely,"Loneliness is one of the most painful feelings. I'm here, and I'm glad you reached out."
Nobody understands me,Feeling misunderstood is deeply painful. I want to understand — please tell me more.
I have no one to talk to,"I'm here, and I'm listening. You don't have to go through this alone."
I feel isolated from everyone,That disconnection can feel so heavy. Reaching out like this takes real courage.
My friends don't check on me,It hurts when the people we care about don't seem to notice. Your feelings about that are completely valid.
I feel invisible,"You are not invisible to me. I see you, and what you feel matters."
I feel like nobody cares about me,I care. And I'm glad you're here talking to me right now.
I spend most of my time alone,Solitude can feel peaceful or painful depending on the day. How has it been feeling for you lately?
I feel like a failure,One difficult moment does not make you a failure. You are so much more than your worst days.
I'm not good enough,That thought is very common but it isn't the truth. You are enough exactly as you are.
I hate myself,I'm really sorry you're feeling that way about yourself. Can you tell me what's been happening?
I always mess everything up,Everyone makes mistakes — it's how we learn. Please don't be so hard on yourself.
I feel worthless,You are not worthless. The fact that you're here and sharing this takes real strength.
I compare myself to others a lot,Comparison can be so unkind to ourselves. Everyone's journey looks different from the inside.
I don't think I deserve to be happy,"You absolutely deserve happiness. Every person does, including you."
I feel like a burden to everyone,You are not a burden. The people in your life are lucky to have you.
I feel so angry all the time,Anger often covers deeper pain. It's okay to feel it — what do you think is underneath it?
I get frustrated easily lately,"When we're overwhelmed, small things can trigger big reactions. How have you been sleeping and eating?"
I said something I regret when I was angry,We all do that sometimes. Recognizing it shows you care. Is there a way to repair it?
I feel angry but I don't know why,Unexplained anger is often a signal from your body that something needs attention.
I had a fight with someone I care about,Conflict with people we love is really painful. Would it help to talk through what happened?
I feel like my relationship is falling apart,That is a really scary and sad feeling. You don't have to face it alone.
I feel unappreciated by the people around me,Not feeling seen or valued by others really hurts. Your contributions matter even when unacknowledged.
I'm going through a breakup,"Breakups can feel like grief. It's okay to be sad, angry, or confused — sometimes all at once."
I feel betrayed by a friend,Betrayal by a friend cuts deep. Your pain about that is completely understandable.
I don't know what to do,That uncertainty is really hard. Let's take it one small step at a time together.
I feel overwhelmed,I hear you. Take one breath. You don't have to solve everything right now.
I'm struggling,Thank you for saying that. Struggling takes honesty and courage. I'm here.
I need someone to talk to,I'm right here and I'm listening. Tell me whatever is on your mind.
I feel like giving up,Please don't give up. I'm here with you. Can you tell me more about what's happening?
I don't feel like myself lately,That disconnection from yourself can be really unsettling. When did you start feeling this way?
I'm having a really bad day,I'm sorry today has been so hard. I'm glad you're here. What happened?
I feel like nothing will get better,It feels that way right now but feelings aren't permanent facts. I believe things can get better for you.
I'm scared,It's okay to be scared. You don't have to face whatever this is alone.
I feel numb,Numbness can be our mind's way of protecting us from too much at once. Be gentle with yourself.
